Dans quel pays s'est déroulé la coup d'afrique 2019,Egypte
Quelle était la poule de la cote d'ivoire?,Poule D
Quel est le score entre EGYPTE vs ZIMBABOWE,1 0
Quel est le score entre CONGO-RDC vs OUGANDA,0 2
Quel est le score entre NIGERIA vs BURUNDI,1 0
Quel est le score entre GUINÉE vs MADAGASCAR,2 2
Quel est le score entre SENEGAL vs TANZANIE,2 0
Quel est le score entre ALGERIE vs KENYA,2 0
Quel est le score entre MAROC vs NAMIBIE,1 0
Quel est le score entre COTE D'IVOIRE vs AFRIQUE DU SUD,1 0
Quel est le score entre TUNISIE vs ANGOLA,1 1
Quel est le score entre MALI vs MAURITANIE,4 1
Quel est le score entre CAMEROUN vs GUINÉE-BISSAU,2 0
Quel est le score entre GHANA vs BENIN,2 2
Quel est le score entre COTE D'IVOIRE vs MALI,1 0
Quel est le score entre COTE D'IVOIRE vs ALGERIE,1 1
Quel est le score de la finale entre ALGERIE vs SENEGAL,1 0
Quel est le score entre SENEGAL vs TUNISIE,1 0
Quel est le score entre ALGERIE vs GUINÉE,3 0
Qui a raté le dernier pénalti de la COTE D'IVOIRE,Seré dié
